Timestamp,Position,Load
0.0077,174,105
0.0142,174,75
0.0209,174,0
0.0279,174,0
0.0347,174,0
0.0415,174,90
0.0481,174,120
0.0552,174,135
0.0622,173,150
0.069,173,180
0.0759,171,165
0.0826,169,150
0.0894,166,120
0.0962,163,90
0.103,162,105
0.1098,160,105
0.1165,159,135
0.1233,158,135
0.1301,156,135
0.1372,154,135
0.1444,152,135
0.1515,150,105
0.1589,147,90
0.1661,146,120
0.1729,145,135
0.1801,145,180
0.1872,145,195
0.1939,145,225
0.2007,145,255
0.2073,145,270
0.2141,145,300
0.2207,145,330
0.2273,145,345
0.234,145,375
0.2407,145,405
0.2474,145,420
0.2542,144,435
0.2612,144,465
0.2683,144,495
0.2753,144,510
0.2823,144,540
0.289,144,570
0.2958,144,600
0.3027,144,615
0.3094,144,645
0.3165,144,675
0.3233,144,690
0.33,144,720
0.3369,144,750
0.3438,144,780
0.3506,143,780
0.3574,142,795
0.3641,142,825
0.3709,141,825
0.3778,141,855
0.3846,141,885
0.3913,141,900
0.3981,141,930
0.4049,141,960
0.4119,141,990
0.4186,141,1000
0.4257,141,1000
0.4327,141,1000
0.4395,141,1000
0.4463,141,1000
0.453,141,1000
0.4599,141,1000
0.4666,141,1000
0.4734,141,1000
0.4801,141,1000
0.4869,141,1000
0.4938,141,1000
0.5007,141,1000
0.5075,141,1000
0.5142,141,1000
0.521,141,1000
0.5278,141,1000
0.5346,141,1000
0.5413,141,1000
0.5481,141,1000
0.5549,141,1000
0.5618,141,1000
0.5686,141,1000
0.5756,141,1000
0.5826,141,1000
0.5893,141,1000
