Timestamp,Position,Load
0.0101,147,0
0.0169,147,90
0.024,147,120
0.0306,147,135
0.0375,147,165
0.0444,147,195
0.0511,147,225
0.0576,147,240
0.0641,147,270
0.0707,147,285
0.0773,147,315
0.0838,147,345
0.0905,147,360
0.0971,147,390
0.1036,146,405
0.1101,146,420
0.1167,146,450
0.1233,146,480
0.13,146,495
0.1367,146,525
0.1432,145,540
0.1497,145,555
0.1562,145,585
0.1629,144,585
0.1696,144,615
0.1764,144,645
0.1835,144,675
0.1908,144,690
0.1979,144,720
0.2045,144,750
0.2117,144,780
0.2185,144,795
0.2253,144,825
0.2322,144,855
0.2392,144,870
0.2461,144,900
0.253,144,930
0.2602,144,960
0.2672,144,975
0.2746,144,1000
0.2817,144,1000
0.2886,143,1000
0.2954,142,1000
0.302,141,1000
0.3088,140,1000
0.3155,140,1000
0.3225,140,1000
0.3292,140,1000
0.3359,140,1000
0.3425,140,1000
0.3491,140,1000
0.3557,140,1000
0.3623,140,1000
0.3688,140,1000
0.3756,140,1000
0.3823,140,1000
0.389,140,1000
0.3957,140,1000
0.4025,140,1000
0.4097,140,1000
0.4163,140,1000
0.4228,140,1000
0.4295,140,1000
0.4363,140,1000
0.4429,140,1000
0.4494,140,1000
0.456,140,1000
