Timestamp,Position,Load
0.0086,174,90
0.0152,174,60
0.0217,174,0
0.0283,174,0
0.035,174,45
0.0416,174,90
0.0482,174,120
0.055,174,150
0.0616,173,150
0.0681,172,165
0.075,170,150
0.0816,169,150
0.0881,166,120
0.0948,164,105
0.1015,162,105
0.108,160,105
0.1145,160,120
0.1211,158,135
0.128,156,135
0.1347,155,135
0.1414,153,135
0.148,150,105
0.1547,149,105
0.1614,146,90
0.168,145,105
0.1746,143,90
0.1813,143,150
0.1878,141,135
0.1944,140,135
0.201,140,165
0.2076,139,180
0.2143,139,210
0.2209,139,240
0.2276,139,270
0.2343,139,285
0.241,139,315
0.2479,139,345
0.2548,139,360
0.2615,138,375
0.2683,138,405
0.2751,138,435
0.2817,138,450
0.2883,137,465
0.2953,137,495
0.302,136,495
0.3086,136,525
0.3152,134,510
0.3219,134,525
0.3285,133,540
0.3353,133,585
0.3419,133,600
0.3486,133,630
0.3553,133,660
0.3619,133,675
0.3684,132,690
0.3751,132,720
0.3819,131,720
0.3893,129,705
0.3972,128,720
0.4048,126,720
0.4123,125,735
0.4198,125,780
0.4279,124,795
0.4349,124,810
0.4417,122,810
0.4489,122,840
0.4556,120,840
0.4622,118,795
0.469,114,750
0.4758,112,765
0.4824,110,750
0.489,106,705
0.4955,102,675
0.5021,100,660
0.5089,95,600
0.5155,91,570
0.5221,87,525
0.5287,81,435
0.5353,77,420
0.5418,75,420
0.5485,66,255
0.5553,61,255
0.5619,60,255
0.5685,57,270
0.5751,54,255
0.5817,53,270
0.5882,50,225
0.5947,49,210
0.6015,48,195
0.6079,47,210
0.6147,47,210
0.6214,47,210
0.628,47,210
