Timestamp,Position,Load
0.0019,182,45
0.0088,182,150
0.0153,182,180
0.0221,182,240
0.0289,180,255
0.0356,178,255
0.0424,175,240
0.0493,173,285
0.056,172,300
0.0628,168,285
0.0696,161,195
0.0764,159,195
0.0832,154,210
0.09,151,225
0.097,149,285
0.1041,147,285
0.1111,144,300
0.118,142,330
0.1249,141,390
0.1321,141,420
0.1391,140,465
0.1461,138,495
0.1534,137,540
0.1602,135,525
0.1669,131,510
0.1735,126,480
0.1802,124,480
0.1868,122,525
0.1936,120,585
0.2002,120,615
0.207,120,690
0.2139,120,750
0.2208,120,810
0.2278,120,840
0.2348,120,900
0.2418,120,960
0.2486,120,1000
0.2556,120,1000
0.2626,119,1000
0.2698,119,1000
0.2773,119,1000
0.2846,119,1000
0.2913,119,1000
0.298,119,1000
