Timestamp,Position,Load
0.0021,180,0
0.009,180,120
0.0157,180,150
0.0225,178,180
0.0293,176,195
0.036,176,225
0.0431,174,255
0.0499,172,285
0.0567,170,285
0.0634,165,240
0.0702,159,180
0.077,157,210
0.0837,156,285
0.0905,153,285
0.0973,153,375
0.1041,153,405
0.1109,152,450
0.1177,152,510
0.1244,152,540
0.1312,152,600
0.138,152,660
0.1449,152,720
0.1517,152,750
0.1585,152,810
0.1655,152,870
0.1725,152,900
0.1795,152,960
0.1865,152,1000
0.1934,152,1000
0.2003,152,1000
0.2073,152,1000
0.2143,152,1000
0.2211,152,1000
0.2284,152,1000
0.2351,152,1000
0.2418,152,1000
0.2486,152,1000
0.2554,152,1000
0.2621,152,1000
0.2688,152,1000
0.2755,152,1000
0.2824,152,1000
0.2897,152,1000
0.2967,152,1000
