Timestamp,Position,Load
0.0076,182,120
0.0143,182,150
0.0213,182,210
0.0281,182,270
0.0349,178,225
0.0417,176,225
0.0485,174,255
0.0553,172,300
0.0622,170,300
0.069,165,255
0.0758,159,210
0.0825,157,210
0.0893,152,195
0.096,150,255
0.1029,147,285
0.1096,145,270
0.1164,143,315
0.1232,142,375
0.1299,141,390
0.1368,140,435
0.1435,140,495
0.1504,140,540
0.1571,138,555
0.1639,135,555
0.1706,132,540
0.1776,127,495
0.1848,123,495
0.1918,122,555
0.1988,121,615
0.2056,121,675
0.2138,120,720
0.221,120,780
0.2281,120,840
0.235,120,900
0.2417,120,930
0.2484,120,990
0.2553,120,1000
0.2621,120,1000
0.2689,120,1000
0.2755,120,1000
0.2822,120,1000
0.2889,120,1000
0.2956,120,1000
