Timestamp,Position,Load
0.0079,180,45
0.0147,180,150
0.0214,178,165
0.0281,177,180
0.035,176,225
0.0418,174,255
0.0487,173,270
0.0555,170,270
0.0623,166,255
0.0693,160,195
0.076,158,195
0.0827,155,225
0.0894,153,285
0.0962,153,330
0.103,153,405
0.1098,152,450
0.1166,152,480
0.1233,152,540
0.1301,152,600
0.1368,152,630
0.1438,152,690
0.1509,152,750
0.1578,152,810
0.1648,152,840
0.1717,152,900
0.1788,152,960
0.1858,152,1000
0.1932,152,1000
0.2003,152,1000
0.2071,152,1000
0.2137,152,1000
0.2205,152,1000
0.2272,152,1000
0.2338,152,1000
0.2405,152,1000
0.2472,152,1000
0.2538,152,1000
0.2607,152,1000
0.2675,152,1000
0.2742,152,1000
0.2812,152,1000
0.288,152,1000
0.295,152,1000
