Timestamp,Position,Load
0.0081,168,180
0.015,168,165
0.0219,168,135
0.0288,168,105
0.0356,168,75
0.0426,168,60
0.0494,168,0
0.0562,168,0
0.0629,168,45
0.0693,168,105
0.076,168,135
0.0827,168,150
0.0895,168,180
0.0963,166,165
0.103,165,165
0.1098,164,180
0.1169,162,180
0.1241,161,195
0.1314,160,210
0.1384,159,210
0.1453,157,210
0.1523,155,210
0.1594,153,210
0.1664,151,195
0.1732,148,165
0.18,145,135
0.1866,145,180
0.1933,141,120
0.2,139,135
0.2066,139,150
0.2134,137,165
0.2202,135,165
0.2269,134,165
0.2339,132,165
0.2408,128,105
0.2478,125,90
0.2548,124,90
0.2617,123,120
0.2686,121,135
0.2753,119,135
0.2821,118,135
0.289,116,135
0.296,114,135
0.3028,113,135
0.3094,112,150
0.3162,110,150
0.323,108,120
0.3298,107,150
0.3366,105,150
0.3433,104,165
0.3501,103,165
0.3568,101,165
0.3636,98,150
0.3703,96,105
0.3771,95,150
0.384,94,165
0.3908,93,165
0.3975,91,165
0.4043,90,180
0.4111,90,195
0.418,87,165
0.4245,84,150
0.4314,81,135
0.4381,81,150
0.4449,79,165
0.4517,77,165
0.4584,76,165
0.4653,73,135
0.472,69,90
0.4788,68,90
0.4856,66,105
0.4923,64,105
0.4991,64,135
0.5059,61,105
0.5126,60,135
0.5194,58,135
0.5261,58,150
0.5329,57,165
0.5396,55,165
0.5464,54,165
0.5533,52,165
0.5601,50,165
0.5668,49,165
0.5736,46,150
0.5804,44,135
0.5871,43,120
0.5939,41,90
0.6007,39,60
0.6074,38,45
0.6142,37,0
0.621,37,0
0.6278,36,0
0.6346,36,0
