Timestamp,Position,Load
0.0079,169,165
0.0145,169,150
0.0212,169,120
0.0281,169,90
0.0349,169,75
0.0418,169,0
0.0486,169,0
0.0553,169,0
0.062,169,90
0.0687,169,120
0.0754,169,135
0.0826,169,165
0.0899,168,180
0.0968,167,195
0.1034,165,180
0.1101,163,165
0.1168,162,180
0.1235,161,180
0.1304,160,195
0.1372,159,210
0.144,157,210
0.1507,156,210
0.1575,153,195
0.1643,150,165
0.1711,149,165
0.1783,146,150
0.1856,144,150
0.1926,141,135
0.1996,140,135
0.2077,139,150
0.2148,137,165
0.2216,134,150
0.2286,132,135
0.2355,131,135
0.2424,128,120
0.249,125,105
0.2556,124,105
0.2623,123,135
0.269,122,150
0.2757,120,135
0.2824,118,135
0.2891,116,135
0.2958,115,135
0.3027,113,135
0.3097,112,150
0.3167,109,135
0.3236,108,135
0.3304,107,150
0.3372,105,150
0.3441,103,150
0.3511,103,165
0.3581,100,150
0.365,97,135
0.3716,96,120
0.3783,95,150
0.3851,94,165
0.3923,93,180
0.3991,92,180
0.4057,90,180
0.4124,89,195
0.4192,87,165
0.4261,84,150
0.433,81,135
0.4397,81,150
0.4465,78,135
0.4533,77,165
0.4602,74,150
0.467,72,105
0.4738,69,90
0.4806,67,105
0.4873,66,105
0.4943,64,105
0.501,63,135
0.5078,62,135
0.5146,60,135
0.5214,58,135
0.5282,58,180
0.5351,57,180
0.5418,55,165
0.5485,53,165
0.5553,52,165
0.5622,49,135
0.5689,48,165
0.5757,46,150
0.5825,44,135
0.5893,42,105
0.596,41,90
0.6028,39,60
0.6096,38,45
0.6164,37,0
0.6232,36,0
0.6299,36,0
0.6366,35,0
0.6434,35,0
