Timestamp,Position,Load
0.002,168,195
0.009,168,165
0.0156,168,150
0.0222,168,120
0.0291,168,90
0.0359,168,75
0.0427,168,0
0.0494,168,0
0.0562,168,0
0.0629,168,90
0.0696,168,120
0.0764,168,135
0.0832,168,165
0.0899,167,180
0.0967,166,165
0.1035,165,180
0.1102,163,180
0.117,162,195
0.1238,161,195
0.1306,159,195
0.1374,158,210
0.1441,157,210
0.1509,155,210
0.1578,153,210
0.1645,151,195
0.1714,147,135
0.1783,145,135
0.1855,143,150
0.1924,141,135
0.1994,139,135
0.2063,138,165
0.2135,136,165
0.2205,135,165
0.2275,133,165
0.2342,130,150
0.241,127,105
0.2477,125,90
0.2543,124,135
0.261,122,135
0.2677,121,135
0.2743,119,135
0.2811,117,135
0.2879,116,135
0.2947,114,135
0.3017,112,135
0.3086,112,150
0.3156,109,135
0.3225,107,135
0.3293,106,150
0.3361,105,150
0.3431,104,165
0.35,102,165
0.3569,100,150
0.3635,97,120
0.3703,95,120
0.3771,94,150
0.3839,94,165
0.3907,93,180
0.3974,91,180
0.4043,90,180
0.4111,89,195
0.4179,86,180
0.4247,84,135
0.4315,82,150
0.4382,79,135
0.4451,78,165
0.452,77,165
0.4588,74,150
0.4655,71,120
0.4727,69,90
0.4797,67,105
0.4865,65,105
0.4933,64,135
0.5001,63,135
0.5069,61,135
0.5137,58,105
0.5202,58,135
0.5272,58,180
0.5339,56,165
0.5407,55,165
0.5474,53,165
0.5542,51,165
0.5609,49,135
0.5678,48,165
0.5745,45,135
0.5814,43,120
0.5881,42,105
0.5949,40,75
0.6016,39,60
0.6084,38,60
0.6152,37,0
0.622,36,0
0.6287,36,0
0.6356,35,0
0.6423,35,0
0.6492,35,0
