Timestamp,Position,Load
0.0079,169,165
0.0147,169,135
0.0215,169,105
0.0283,169,90
0.0352,169,60
0.0419,169,0
0.0487,169,0
0.0556,169,45
0.0623,169,105
0.0692,169,135
0.0759,169,150
0.0827,169,180
0.0894,167,180
0.0963,166,165
0.1031,165,180
0.1099,163,180
0.1167,162,180
0.1235,161,195
0.1302,160,210
0.137,159,210
0.1437,157,210
0.1506,155,210
0.1574,152,180
0.1642,151,180
0.171,147,150
0.1777,145,150
0.1845,144,150
0.1913,141,135
0.198,139,135
0.2048,139,150
0.2115,137,165
0.2183,134,150
0.225,133,135
0.2318,131,135
0.2385,128,120
0.2453,126,120
0.252,124,105
0.2588,123,120
0.2655,122,135
0.2723,120,120
0.2791,119,150
0.286,116,120
0.2927,115,120
0.2995,113,135
0.3062,112,150
0.3131,111,150
0.3198,109,150
0.3266,107,150
0.3333,105,150
0.3401,105,165
0.3469,103,165
0.3537,100,150
0.3605,99,135
0.3673,96,120
0.3741,95,150
0.3809,94,150
0.3876,93,165
0.3943,91,165
0.4011,90,165
0.4079,89,180
0.4146,87,180
0.4214,84,150
0.4282,82,135
0.4349,81,150
0.4417,79,150
0.4484,78,165
0.4552,76,165
0.4619,73,135
0.4687,71,120
0.4755,68,90
0.4823,66,105
0.489,65,105
0.4958,64,135
0.5025,62,135
0.5094,60,135
0.5162,59,135
0.5229,58,150
0.5297,57,165
0.5364,56,165
0.5433,54,165
0.55,52,165
0.5569,51,165
0.5637,48,135
0.5704,46,150
0.5771,45,135
0.5838,43,120
0.5906,41,90
0.5972,40,75
0.604,39,60
0.6107,37,0
0.6175,37,0
0.6242,36,0
0.631,36,0
