Timestamp,Position,Load
0.0087,181,45
0.0156,181,150
0.0224,182,195
0.0294,181,240
0.0361,180,285
0.0431,176,240
0.0497,175,255
0.0563,172,285
0.0629,169,300
0.0695,166,255
0.0762,160,210
0.0829,156,225
0.0898,154,225
0.0966,149,210
0.1034,145,195
0.1099,142,195
0.1166,139,225
0.1235,135,225
0.1301,134,240
0.1366,129,225
0.1433,122,150
0.1498,120,150
0.1567,117,195
0.1634,115,240
0.1699,113,240
0.1766,108,225
0.1833,103,150
0.1898,101,180
0.1967,97,180
0.2032,94,210
0.2098,92,210
0.2166,89,225
0.2232,86,240
0.2299,84,240
0.2366,80,240
0.2437,74,180
0.2506,72,180
0.2576,68,180
0.2643,65,240
0.2715,59,180
0.2784,56,150
0.2855,52,165
0.2952,47,165
0.3041,43,105
0.3113,40,60
0.3184,40,90
0.3253,39,75
0.3318,39,90
