Timestamp,Position,Load
0.0079,180,45
0.015,180,120
0.023,180,180
0.0299,180,240
0.0368,179,285
0.0438,175,240
0.0507,175,270
0.0575,172,315
0.0641,168,285
0.0708,165,255
0.0779,160,240
0.0847,155,225
0.0915,153,225
0.0984,147,195
0.1052,143,195
0.1119,140,210
0.1187,138,225
0.1256,134,225
0.1324,130,225
0.1391,126,195
0.146,121,150
0.1527,118,180
0.1597,115,210
0.1664,114,225
0.1732,110,225
0.1799,104,165
0.1867,102,165
0.1936,99,195
0.2004,96,225
0.2071,93,210
0.214,90,225
0.2207,87,240
0.2276,82,210
0.2346,80,210
0.2414,75,195
0.2483,71,195
0.2551,68,180
0.2619,66,240
0.2687,61,195
0.2756,54,120
0.2824,53,135
0.2892,50,195
0.296,46,165
0.3027,44,105
0.3095,41,75
0.3163,40,90
0.3231,40,90
0.3299,38,60
0.3367,37,0
0.3435,36,0
0.3503,35,0
0.3571,35,0
0.3639,35,0
