Timestamp,Position,Load
0.002,180,0
0.009,180,120
0.0155,180,150
0.0222,180,210
0.0289,178,240
0.0358,177,240
0.0425,175,270
0.0494,174,315
0.0563,172,315
0.0631,168,300
0.0699,161,210
0.0766,160,225
0.0835,155,210
0.0902,151,225
0.097,146,210
0.1038,144,210
0.1106,140,210
0.1174,136,225
0.1242,134,210
0.131,130,210
0.1378,124,165
0.1445,122,165
0.1513,118,165
0.1582,115,225
0.1649,113,255
0.1717,110,225
0.1788,104,165
0.1857,100,180
0.1929,97,210
0.1999,96,225
0.2069,91,210
0.2141,89,240
0.2211,85,240
0.2279,82,210
0.2345,78,210
0.2412,73,195
0.2478,71,195
0.2545,67,195
0.2612,64,225
0.2679,61,195
0.2746,54,120
0.2812,51,180
0.288,50,195
0.2949,47,180
0.3017,42,75
0.3088,40,60
0.3157,40,90
0.3227,39,75
0.3294,38,60
0.3363,37,0
0.3433,36,0
0.3501,35,0
0.3569,35,0
0.3637,35,0
0.3703,35,0
