Timestamp,Position,Load
0.0078,180,45
0.0147,180,150
0.0213,180,180
0.0279,179,225
0.0346,179,285
0.0414,177,270
0.0482,175,300
0.055,172,300
0.0617,170,300
0.0685,164,255
0.0753,159,195
0.082,157,225
0.0887,153,225
0.0958,147,180
0.1026,144,225
0.1094,142,225
0.1164,139,240
0.1231,135,240
0.1299,132,225
0.1367,127,195
0.1435,121,150
0.1503,117,165
0.1571,117,195
0.1637,114,240
0.1705,111,255
0.1777,107,180
0.1847,102,165
0.1915,99,210
0.1985,96,225
0.2055,93,210
0.2131,90,210
0.22,87,240
0.2268,83,240
0.2337,80,210
0.2409,75,195
0.2476,71,195
0.2542,68,225
0.2609,66,225
0.2677,61,210
0.2743,54,135
0.281,52,135
0.2878,50,210
0.2947,46,150
0.3018,44,120
0.3086,41,75
0.3155,40,75
0.3228,39,90
0.3296,38,60
0.3364,36,0
0.3431,35,0
0.35,35,0
0.357,35,0
0.364,35,0
