Timestamp,Position,Load
0.0081,182,120
0.015,182,180
0.0218,181,225
0.0286,179,225
0.0354,176,195
0.0422,174,240
0.049,173,255
0.0558,171,285
0.0625,165,210
0.0693,160,195
0.0761,158,195
0.0829,153,180
0.0896,149,195
0.0964,147,195
0.1032,142,180
0.11,141,270
0.1168,139,270
0.1237,135,240
0.1304,130,225
0.1372,123,135
0.144,122,180
0.1508,118,180
0.1576,114,180
0.1643,112,180
0.1712,109,210
0.178,104,180
0.1848,102,180
0.1916,98,180
0.1984,96,240
0.2051,91,195
0.2119,89,195
0.2187,87,240
0.2255,82,225
0.2322,79,180
0.239,75,195
0.2459,72,225
0.2529,69,210
0.2597,65,195
0.2665,60,180
0.2732,53,105
0.28,51,120
0.2868,50,225
0.2936,47,180
0.3004,44,135
0.3072,41,60
0.314,39,60
0.3208,38,0
0.3276,37,0
0.3343,37,45
0.3412,36,0
0.3479,36,0
