Timestamp,Position,Load
0.0075,163,200
0.0143,163,200
0.0214,163,200
0.0287,163,180
0.0357,163,150
0.0423,163,120
0.049,163,105
0.0558,163,75
0.0627,163,0
0.0696,163,0
0.0763,163,0
0.083,163,90
0.0898,163,105
0.0966,163,135
0.1034,163,165
0.1101,162,180
0.1169,161,180
0.1237,159,165
0.1304,158,180
0.1372,156,165
0.144,154,165
0.1507,151,135
0.1578,150,135
0.1648,147,120
0.1718,145,120
0.1787,143,120
0.1867,142,120
0.1939,140,120
0.2008,139,150
0.2077,137,150
0.2145,136,165
0.2211,135,165
0.2279,133,165
0.2345,129,105
0.2411,128,105
0.2479,126,120
0.2545,124,120
0.2613,123,120
0.268,122,150
0.2749,120,150
0.2817,119,150
0.2888,116,135
0.2958,115,150
0.3027,113,150
0.3096,112,150
0.3165,109,120
0.3235,107,120
0.3304,105,120
0.3373,104,120
0.344,103,135
0.3507,101,150
0.3575,100,150
0.3643,98,150
0.371,96,150
0.3778,95,150
0.3846,94,165
0.3914,92,165
0.3982,91,180
0.405,90,180
0.4119,88,180
0.4187,84,120
0.4254,83,120
0.4322,81,135
0.439,79,150
0.4458,78,135
0.4525,77,165
0.4593,74,135
0.4661,72,135
0.4729,69,105
0.4796,67,90
0.4863,66,135
0.4931,65,135
0.4999,64,150
0.5066,62,150
0.5134,61,150
0.5202,59,150
0.527,58,165
0.5337,58,180
0.5404,56,180
0.5472,54,180
0.554,51,150
0.5608,50,150
0.5676,48,150
0.5743,46,150
0.5811,44,135
0.5879,43,135
0.5946,40,75
0.6014,39,60
0.6082,38,0
0.6149,38,75
0.6217,38,75
0.6284,38,75
0.6352,37,60
