Timestamp,Position,Load
0.0079,174,0
0.0143,174,90
0.021,174,105
0.0279,174,135
0.0346,174,165
0.0414,173,165
0.0482,171,150
0.0551,170,165
0.0621,167,150
0.069,165,105
0.0759,163,120
0.0826,162,150
0.0895,161,150
0.0963,159,150
0.1031,158,165
0.1099,157,165
0.1166,155,165
0.1234,153,165
0.1302,150,135
0.137,149,135
0.1438,146,120
0.1506,145,135
0.1574,144,150
0.164,141,120
0.1708,140,150
0.1777,139,150
0.1845,138,165
0.1912,136,165
0.198,135,165
0.2047,133,165
0.2116,130,135
0.2183,127,120
0.2251,126,120
0.2321,124,120
0.2388,122,120
0.2456,122,150
0.2524,120,150
0.2592,118,150
0.266,117,150
0.2728,115,150
0.2797,113,150
0.2865,111,150
0.2933,110,150
0.3,107,120
0.3068,106,150
0.3136,105,150
0.3204,103,150
0.3272,101,150
0.334,100,150
0.3407,98,150
0.3476,96,150
0.3544,94,150
0.3612,94,165
0.3679,92,165
0.3747,90,165
0.3815,90,180
0.3884,87,150
0.3952,84,135
0.4019,83,135
0.4087,81,135
0.4155,80,165
0.4223,79,165
0.4291,77,165
0.4359,74,135
0.4427,71,120
0.4497,69,105
0.4565,68,120
0.4632,66,120
0.4701,65,135
0.4769,64,150
0.4837,62,150
0.4906,61,165
0.4974,59,150
0.5041,58,165
0.5111,57,180
0.5182,55,150
0.5251,53,150
0.5318,51,150
0.5387,49,150
0.5454,48,150
0.5523,46,150
0.5591,44,135
0.5659,43,120
0.5727,41,90
0.5795,39,60
0.5863,39,60
0.5931,38,60
0.5998,38,75
0.6067,38,75
