Timestamp,Position,Load
0.0079,130,200
0.0148,130,200
0.0221,130,200
0.0293,130,200
0.0365,130,200
0.0436,130,200
0.0507,130,200
0.0579,130,200
0.065,130,200
0.0722,130,200
0.0794,130,200
0.0869,130,200
0.094,130,200
0.1014,130,200
0.11,130,200
0.1173,130,200
0.1243,130,200
0.1314,130,200
0.1387,130,200
0.1459,130,200
0.1531,130,200
0.1601,130,180
0.1672,130,150
0.1745,130,120
0.1818,130,90
0.1886,130,75
0.1954,130,0
0.2033,130,0
0.2103,130,45
0.2173,130,90
0.2243,130,120
0.2312,130,150
0.2378,129,165
0.2444,128,150
0.251,126,150
0.2578,124,150
0.2645,123,150
0.2712,122,165
0.2781,119,150
0.2849,118,135
0.2919,116,135
0.2989,114,135
0.3059,112,135
0.3127,111,135
0.3194,108,120
0.3267,106,120
0.3336,105,120
0.3406,104,150
0.3474,102,150
0.3541,100,150
0.3609,100,165
0.368,96,135
0.3747,95,150
0.3815,94,150
0.3883,93,165
0.3951,91,165
0.402,90,180
0.4088,89,180
0.4157,86,150
0.4224,83,135
0.4292,82,135
0.436,81,165
0.4428,79,165
0.4496,78,165
0.4564,76,165
0.4632,73,135
0.4699,69,105
0.4767,68,105
0.4835,66,105
0.4903,65,135
0.4971,64,135
0.5039,63,150
0.5107,61,150
0.5176,61,165
0.5244,59,165
0.5312,58,180
0.538,55,150
0.5448,54,150
0.5515,53,180
0.5583,50,150
0.565,49,150
0.5719,47,150
0.5786,44,135
0.5854,44,135
0.5921,42,105
0.5989,40,75
0.6057,39,75
0.6125,38,60
0.6192,37,0
0.626,37,45
0.6328,37,60
0.6397,37,60
