Timestamp,Position,Load
0.002,173,105
0.0094,173,0
0.0162,173,45
0.0228,173,105
0.0297,173,165
0.0365,172,210
0.0433,172,240
0.0502,169,255
0.057,165,210
0.0639,163,210
0.0707,160,225
0.0774,157,240
0.0843,154,255
0.0911,151,240
0.0979,146,195
0.1047,142,225
0.1114,141,240
0.1182,138,255
0.125,135,270
0.1318,132,255
0.1385,127,225
0.1452,123,225
0.152,122,255
0.1587,117,225
0.1654,113,225
0.1723,109,225
0.1791,107,225
0.1858,103,225
0.1926,99,225
0.1994,96,210
0.2062,94,270
0.213,91,285
0.2198,90,300
0.2266,84,255
0.2333,80,225
0.2401,78,255
0.2469,73,225
0.2538,67,180
0.2607,64,225
0.2675,61,210
0.2743,58,210
0.2811,55,255
0.2879,53,240
0.2947,49,195
0.3014,45,135
0.3081,43,105
0.3149,40,60
0.3217,37,75
0.3284,36,0
0.3353,36,0
0.3421,36,0
0.3488,36,0
