Timestamp,Position,Load
0.0084,173,75
0.0151,173,0
0.0219,173,105
0.0287,173,135
0.0355,173,195
0.0423,172,240
0.049,171,255
0.0559,167,225
0.0627,163,210
0.0695,161,210
0.0762,159,255
0.083,156,270
0.0899,151,225
0.0967,148,210
0.1035,144,210
0.1105,140,210
0.1175,139,255
0.1243,136,270
0.1317,132,255
0.1385,126,195
0.1453,124,195
0.1523,121,225
0.159,116,225
0.1657,115,240
0.1724,111,240
0.1793,107,240
0.186,103,240
0.1927,100,225
0.1995,96,210
0.2063,94,255
0.213,92,255
0.2199,89,270
0.2267,82,180
0.2335,81,195
0.2402,78,270
0.247,73,240
0.2537,69,165
0.2605,65,195
0.2673,61,195
0.274,58,225
0.2808,56,225
0.2875,53,240
0.2943,49,195
0.301,47,165
0.3081,43,105
0.3148,40,60
0.3216,38,60
0.3283,36,0
0.3351,36,0
0.3421,36,0
0.3488,36,0
0.3556,36,0
0.3623,36,0
