Timestamp,Position,Load
0.0021,173,105
0.0095,173,0
0.0164,173,45
0.0233,173,105
0.0301,173,165
0.0368,172,210
0.0435,171,225
0.0503,169,240
0.0571,165,225
0.0641,163,210
0.0709,160,225
0.0776,158,270
0.0844,154,255
0.0911,150,225
0.098,146,195
0.1047,142,210
0.1115,140,210
0.1182,138,270
0.125,135,285
0.1317,132,270
0.1385,127,225
0.1453,123,225
0.1521,121,225
0.1588,117,225
0.1655,113,225
0.1723,109,225
0.1791,107,225
0.1859,103,225
0.1927,99,240
0.1994,96,210
0.2062,94,270
0.2129,91,285
0.2196,89,285
0.2264,84,240
0.2332,80,240
0.2399,78,255
0.2466,73,225
0.2534,67,180
0.2603,63,195
0.267,61,195
0.2738,58,210
0.2806,55,240
0.2874,52,225
0.2942,49,195
0.3009,45,135
0.3076,43,105
0.3143,40,60
0.3211,37,75
0.3279,36,0
0.3346,36,0
0.3414,36,0
0.3481,36,0
