Timestamp,Position,Load
0.0076,179,45
0.0142,179,105
0.0208,179,165
0.0276,177,180
0.0344,177,210
0.0413,175,240
0.048,174,285
0.0548,172,285
0.0616,169,285
0.0683,162,180
0.0751,160,180
0.0818,155,195
0.0887,151,180
0.0954,146,195
0.1023,144,180
0.1092,142,240
0.1159,140,270
0.1227,138,270
0.1295,133,225
0.1362,127,195
0.143,124,165
0.1498,121,210
0.1566,117,210
0.1634,113,210
0.1702,112,225
0.1773,107,210
0.1843,102,180
0.1912,97,165
0.198,96,180
0.2052,94,240
0.2121,89,195
0.2191,87,255
0.2259,85,255
0.2325,80,225
0.2398,76,195
0.2464,74,225
0.2531,69,195
0.2598,66,225
0.2665,64,225
0.2732,58,180
0.2799,51,105
0.2868,50,150
0.2938,49,225
0.3008,45,135
0.3082,41,75
0.3151,39,60
0.322,38,0
0.33,37,0
0.3373,37,0
0.3443,37,60
0.3511,37,60
