Timestamp,Position,Load
0.0079,180,45
0.0144,180,150
0.021,179,165
0.0277,177,180
0.0346,176,225
0.0414,175,240
0.0483,173,270
0.0552,170,270
0.062,169,285
0.0688,162,210
0.0756,158,195
0.0824,152,180
0.0891,151,195
0.0959,146,180
0.1026,143,210
0.1093,142,225
0.1162,139,240
0.123,136,255
0.1298,133,240
0.1365,128,210
0.1433,123,195
0.1502,119,195
0.157,117,195
0.1637,113,195
0.1704,109,210
0.1776,107,195
0.1846,103,195
0.1916,98,180
0.1985,95,210
0.2054,94,225
0.2125,90,225
0.2196,87,240
0.2263,83,240
0.2329,80,210
0.2396,76,210
0.2473,72,210
0.2541,68,210
0.2609,66,210
0.2676,61,195
0.2743,54,120
0.281,52,135
0.2878,50,210
0.2945,47,180
0.3014,45,150
0.3087,41,75
0.3157,40,60
0.3226,38,0
0.3294,37,0
0.3362,37,45
0.343,37,60
0.35,36,0
