Timestamp,Position,Load
0.0077,180,45
0.0146,180,120
0.0212,179,165
0.0278,177,180
0.0347,177,210
0.0415,175,240
0.0484,173,270
0.0551,172,285
0.0618,169,285
0.0686,162,210
0.0753,158,210
0.082,155,195
0.0888,151,195
0.0956,146,180
0.1024,144,180
0.1095,142,210
0.1165,139,255
0.1236,136,270
0.1304,133,240
0.1385,127,180
0.1455,122,165
0.1525,119,210
0.1592,115,210
0.1658,113,210
0.1724,109,210
0.1791,105,210
0.1857,103,210
0.1924,98,180
0.1992,95,210
0.2058,93,210
0.2126,89,210
0.2197,87,240
0.2267,85,240
0.2336,80,210
0.2404,76,210
0.2472,72,210
0.254,69,195
0.2609,66,210
0.2678,60,195
0.2747,58,165
0.2817,51,105
0.2884,50,225
0.2952,47,180
0.302,44,135
0.3089,41,75
0.3157,39,0
0.3225,39,45
0.3292,37,0
0.3359,37,45
0.3429,36,0
