Timestamp,Position,Load
0.0018,180,0
0.0099,180,120
0.0165,180,180
0.0232,178,180
0.0304,176,180
0.0372,175,240
0.0437,174,255
0.0504,172,285
0.0569,169,285
0.0637,165,255
0.0703,160,180
0.0769,155,180
0.0836,152,165
0.0903,149,210
0.0972,144,180
0.1041,140,180
0.1107,139,195
0.1173,136,225
0.1239,130,195
0.1305,128,180
0.137,122,135
0.1435,121,150
0.1501,117,180
0.1566,114,195
0.1631,112,195
0.1698,108,195
0.1764,104,195
0.183,100,165
0.1898,97,150
0.1964,94,210
0.203,92,195
0.2096,88,195
0.2162,85,210
0.2228,83,210
0.2296,78,180
0.2362,74,180
0.2431,72,180
0.2498,68,180
0.2564,64,180
0.263,61,165
0.2697,55,135
0.2763,51,120
0.2829,50,165
0.2896,47,165
0.2963,44,120
0.303,41,75
0.31,40,60
0.317,37,60
0.3239,37,60
0.3329,36,0
0.3399,36,0
0.3491,36,0
