Timestamp,Position,Load
0.005,180,150
0.012,178,165
0.0188,177,180
0.026,176,225
0.0331,174,255
0.04,172,285
0.047,170,270
0.0541,165,225
0.0613,160,210
0.0684,155,195
0.0765,151,195
0.0836,149,195
0.0905,144,180
0.1009,140,180
0.1083,135,210
0.1154,133,210
0.1225,128,180
0.1293,123,165
0.1363,119,165
0.1431,117,165
0.15,114,195
0.157,110,195
0.1639,106,195
0.1705,104,195
0.177,99,165
0.1836,96,180
0.1903,94,210
0.1969,90,195
0.2036,87,210
0.2101,85,210
0.2168,81,210
0.2239,76,165
0.2305,74,195
0.2371,70,195
0.2436,66,195
0.2503,64,195
0.2572,58,150
0.2641,52,90
0.2712,51,150
0.2786,49,195
0.2861,45,135
0.2932,41,75
0.3001,39,60
0.307,39,60
0.3139,37,0
0.3207,36,0
0.3275,35,0
0.3344,34,0
0.3412,34,0
0.3488,33,0
0.3562,33,0
