Timestamp,Position,Load
0.0017,182,45
0.0086,182,150
0.0153,182,210
0.022,182,240
0.0285,178,225
0.0354,176,225
0.042,175,270
0.0485,173,300
0.0552,168,240
0.0621,165,225
0.0688,160,195
0.0756,155,180
0.0822,152,165
0.0887,149,210
0.0952,143,150
0.1017,142,165
0.1085,139,210
0.1155,136,240
0.1221,134,225
0.1286,128,165
0.1352,123,150
0.1418,121,150
0.1485,117,165
0.1551,114,180
0.1617,112,195
0.1685,108,195
0.1751,104,195
0.1818,101,180
0.1884,97,165
0.195,94,195
0.2015,92,195
0.208,89,210
0.2146,87,210
0.2211,83,210
0.2277,77,165
0.2342,76,180
0.2408,72,180
0.2474,68,180
0.254,66,180
0.2606,61,165
0.2672,55,135
0.2737,53,120
0.2802,50,165
0.2867,50,195
0.2936,46,165
0.3002,41,75
0.3068,40,60
0.3134,38,0
0.3198,37,0
0.3264,37,0
0.333,36,0
0.3399,35,0
0.3465,35,0
0.353,35,0
0.3596,35,0
