Timestamp,Position,Load
0.0082,180,45
0.0151,180,150
0.0221,178,180
0.0291,177,180
0.0371,175,210
0.0471,174,255
0.0543,170,285
0.0613,168,255
0.068,162,195
0.0749,158,210
0.0818,155,195
0.0888,151,195
0.096,146,180
0.1033,142,165
0.1103,139,210
0.1187,136,225
0.1319,133,210
0.1392,123,165
0.1473,119,165
0.1546,115,165
0.1613,114,180
0.1711,108,195
0.1781,104,195
0.1851,100,165
0.192,97,150
0.199,94,210
0.2059,90,195
0.2125,89,210
0.219,85,210
0.2256,83,210
0.2323,78,180
0.239,74,195
0.2458,70,180
0.2525,68,180
0.2592,64,180
0.2659,58,135
0.2727,54,105
0.2794,51,120
0.2861,49,195
0.2927,47,180
0.2993,43,105
0.3059,40,60
0.3125,39,0
0.3192,38,60
0.3257,37,0
0.3322,37,45
0.3388,36,0
0.3454,36,0
