Timestamp,Position,Load
0.0023,167,195
0.0095,167,135
0.0163,167,105
0.0231,167,0
0.0302,167,45
0.0371,167,105
0.0439,167,165
0.0507,167,225
0.0575,166,270
0.0643,165,285
0.0713,162,285
0.0781,160,300
0.0849,159,315
0.0918,157,345
0.0984,152,300
0.1051,149,285
0.1118,145,285
0.1187,140,270
0.1255,137,285
0.1323,135,285
0.139,130,270
0.1457,124,225
0.1525,122,225
0.1595,117,225
0.1663,113,225
0.1736,109,225
0.1806,106,210
0.1877,103,240
0.1947,98,210
0.2017,95,240
0.2088,94,255
0.216,91,285
0.223,88,300
0.23,82,240
0.2369,81,255
0.2436,78,285
0.2503,73,255
0.257,69,225
0.2636,65,210
0.2703,61,240
0.277,59,225
0.2837,56,255
0.2905,53,255
0.2973,51,225
0.3044,47,165
0.3116,43,105
0.3186,40,60
0.3261,38,60
0.3332,37,0
0.3402,36,0
0.3474,36,0
0.3544,35,0
0.3615,35,0
