Timestamp,Position,Load
0.0038,168,180
0.011,168,150
0.0176,168,90
0.0242,168,0
0.0309,168,0
0.0379,168,120
0.0446,168,180
0.0514,168,210
0.0582,167,255
0.0649,164,240
0.0718,162,270
0.0786,161,285
0.0854,159,315
0.0923,156,330
0.0991,155,345
0.1058,150,300
0.1125,145,285
0.1193,143,285
0.1261,139,285
0.1328,135,300
0.1397,133,300
0.1465,126,210
0.1532,122,240
0.1604,117,225
0.1674,115,225
0.176,111,225
0.1829,106,210
0.1898,103,240
0.1967,98,210
0.2037,96,210
0.2108,94,270
0.218,91,285
0.2246,88,300
0.2312,85,285
0.238,81,240
0.2447,77,270
0.2515,76,285
0.2582,69,195
0.2648,65,225
0.2715,64,240
0.2784,59,225
0.2854,56,255
0.2924,53,255
0.2991,51,225
0.3059,47,165
0.3126,43,105
0.3194,42,90
0.3262,39,0
0.333,37,60
0.3399,36,0
0.3465,36,0
0.3532,36,0
