Timestamp,Position,Load
0.0022,168,180
0.0093,168,120
0.0165,168,90
0.0234,168,0
0.0301,168,45
0.0367,168,120
0.0437,168,180
0.0504,168,240
0.0573,166,270
0.064,165,270
0.0708,162,270
0.0776,160,300
0.0844,159,315
0.0912,156,330
0.098,152,315
0.1047,149,285
0.1115,145,285
0.1183,140,270
0.1251,139,285
0.1318,135,300
0.1386,130,285
0.1454,124,210
0.1523,122,240
0.159,117,225
0.1657,113,225
0.1725,111,225
0.1797,107,225
0.187,103,240
0.1941,98,225
0.201,96,210
0.208,94,270
0.2151,91,285
0.2221,87,270
0.2291,85,270
0.2368,81,255
0.2438,78,285
0.2504,73,270
0.257,69,195
0.2637,64,195
0.2704,61,240
0.277,59,240
0.2838,56,255
0.2905,53,255
0.2974,49,195
0.3043,47,165
0.3112,43,105
0.3179,40,60
0.3247,38,60
0.3317,37,60
0.3385,36,0
0.3454,36,0
0.3526,35,0
0.3596,35,0
0.3664,35,0
